"Step","ddpo_trainer_config.train_learning_rate: 0.00005 - head_validation/pickup_mean","ddpo_trainer_config.train_learning_rate: 0.00005 - head_validation/pickup_mean__MIN","ddpo_trainer_config.train_learning_rate: 0.00005 - head_validation/pickup_mean__MAX"
"4","0.049603765830397606","-0.8946865200996399","0.5218394994735718"
"8","0.209456259268336","0.00529260141775012","0.46157607436180115"
"12","-0.04622610006481409","-0.6174993515014648","0.5675457715988159"
"16","0.2574214646592736","0.04050001874566078","0.38202181458473206"
"20","0.002819158136844635","-0.4848904311656952","0.48469218611717224"
"24","-0.4865940045565367","-0.926832377910614","0.044288285076618195"
"28","0.24104605801403522","-0.2601364254951477","0.9340231418609619"
"32","0.2049311250448227","-0.29534804821014404","0.42587700486183167"
"36","0.3429129645228386","0.18045419454574585","0.5787950158119202"
"40","-0.8670634031295776","-2.1834115982055664","0.3456624746322632"
"44","0.09617931582033634","-0.11605275422334671","0.266064316034317"
"48","0.14011196047067642","-0.46467575430870056","0.4818152189254761"
"52","-0.1503885993734002","-0.7218771576881409","0.22539719939231873"
"56","0.32174621149897575","0.1969272792339325","0.44360992312431335"
"60","0.27717964351177216","-0.21489140391349792","0.7605510354042053"
"64","0.4493572455830872","0.011303829029202461","0.8758374452590942"
"68","0.15775508433580399","-0.23327356576919556","0.352111279964447"
"72","-0.57193573564291","-1.364080786705017","0.6914895176887512"
"76","0.04522315226495266","-0.09362541139125824","0.2696802020072937"
"80","0.37959371507167816","0.13616478443145752","0.7467899322509766"
"84","-0.4175194948911667","-2.2058935165405273","0.46045953035354614"
"88","0.21204537153244019","-0.4377576410770416","0.5104110240936279"
"92","-0.03611898422241211","-1.6246192455291748","0.49909961223602295"
"96","0.3056688569486141","-0.24685947597026825","0.5886821150779724"
"100","0.2603880874812603","-0.09555475413799286","0.5684612393379211"
"104","0.2623155121691525","0.023716123774647713","0.5221410393714905"
"108","0.011939513497054577","-0.571061372756958","0.4233982563018799"
"112","0.14840507227927446","-0.08464904129505157","0.5704809427261353"
"116","0.3438575714826584","0.1442486047744751","0.4439041018486023"
"120","-0.0038136914372444153","-0.2189089059829712","0.5099343657493591"
"124","0.44491250813007355","0.1813983917236328","0.8094245195388794"
"128","0.2943642772734165","-0.10646326839923859","0.4943128526210785"
"132","0.3119798842817545","0.11758945137262344","0.5820145010948181"
"136","0.3123103119432926","0.17643840610980988","0.5183077454566956"
"140","0.20434201508760452","-0.2050209790468216","0.4886015057563782"
"144","-0.07563214376568794","-0.21460990607738495","0.20203331112861633"
"148","0.27447811840102077","-0.01803983934223652","0.4406309723854065"
"152","-0.4123168829828501","-0.9239628911018372","0.08581247180700302"
"156","0.5528546124696732","0.5105541348457336","0.5943993926048279"
"160","0.09240058436989784","-0.2582094669342041","0.5707767009735107"
"164","0.48718977719545364","0.28451016545295715","0.7683738470077515"
"168","0.1158820316195488","-0.802648663520813","0.476875364780426"
"172","0.18497605435550213","0.06663677841424942","0.31141430139541626"
"176","0.1616894006729126","-0.393265038728714","0.6627005934715271"
"180","0.2962067387998104","0.11337269842624664","0.384223997592926"
"184","0.327722392976284","0.1820152997970581","0.6321455240249634"
"188","0.28358767554163933","-0.18365125358104706","0.5780643820762634"
"192","0.44075869023799896","0.28241342306137085","0.6143106818199158"
"196","0.4487016573548317","0.3269222378730774","0.5994446277618408"
"200","0.23101520910859108","-0.06651763617992401","0.5608704686164856"
"204","0.4052798997145146","-0.011709560640156269","0.6600689888000488"
"208","0.3056632336229086","0.12045573443174362","0.42408454418182373"
"212","0.5847824960947037","0.39072954654693604","0.6949240565299988"
"216","0.34191811829805374","0.07689380645751953","0.7298755049705505"
"220","0.4750712737441063","0.27290594577789307","0.7048922181129456"
"224","0.3599460180848837","0.04896654933691025","0.6050836443901062"
"228","0.36405524238944054","0.11469022929668427","0.74106764793396"
"232","0.3475169539451599","-0.06818634271621704","0.6328562498092651"
"236","0.44257424026727676","0.32328253984451294","0.570825457572937"
"240","0.4084493014961481","0.09300706535577774","0.607340931892395"
"244","0.4262502044439316","0.16771605610847473","0.7833038568496704"
"248","0.2514323592185974","-0.08427032828330994","0.47812288999557495"
"252","0.4450620785355568","0.41605427861213684","0.4866626560688019"
"256","0.2146646585315466","-0.11003885418176651","0.35074490308761597"
"260","0.27732430025935173","0.12978795170783997","0.4450732469558716"
"264","0.47299718856811523","0.38582736253738403","0.5601670145988464"
"268","0.6175326406955719","0.43882131576538086","0.7962439656257629"
"272","0.16956253722310066","0.06034461408853531","0.278780460357666"
"276","0.4309898912906647","0.4309898912906647","0.4309898912906647"
"280","0.5419617295265198","0.5419617295265198","0.5419617295265198"
"284","0.38517314195632935","0.38517314195632935","0.38517314195632935"
"288","0.2910475432872772","0.2910475432872772","0.2910475432872772"
"292","0.08018035441637039","0.08018035441637039","0.08018035441637039"
