"Step","ddpo_trainer_config.train_learning_rate: 0.00005 - tail_validation/English foxhound_mean","ddpo_trainer_config.train_learning_rate: 0.00005 - tail_validation/English foxhound_mean__MIN","ddpo_trainer_config.train_learning_rate: 0.00005 - tail_validation/English foxhound_mean__MAX"
"4","-0.2893220102414489","-1.0061537027359009","0.038842711597681046"
"8","-0.6868065521121025","-0.9786198735237122","-0.34483036398887634"
"12","-0.661628894507885","-1.4561710357666016","-0.31308242678642273"
"16","-0.19852327927947044","-1.2406649589538574","0.36645781993865967"
"20","-0.28501421958208084","-0.8466747403144836","0.5105090737342834"
"24","-0.42003945261240005","-0.757780134677887","0.13878577947616577"
"28","-0.29674625210464","-0.754335880279541","0.21856717765331268"
"32","-0.23822838068008423","-0.5434260368347168","0.2672484219074249"
"36","-0.3118592109531164","-0.8357664942741394","0.13381870090961456"
"40","-0.38430532440543175","-0.9211515188217163","0.30061671137809753"
"44","-0.2707439810037613","-0.7984405755996704","0.23055040836334229"
"48","-0.8140714168548584","-0.9879790544509888","-0.618012547492981"
"52","-0.7093362808227539","-1.2383224964141846","-0.2838960289955139"
"56","-0.2862587794661522","-0.5048784613609314","0.28488361835479736"
"60","-0.6380999535322189","-0.7314146161079407","-0.6024056673049927"
"64","-0.4799561835825443","-0.6897077560424805","-0.194099560379982"
"68","-0.23082426376640797","-0.34737446904182434","-0.06536807864904404"
"72","-0.4033881789073348","-0.7564029097557068","0.05128994956612587"
"76","-0.07833074638620019","-0.4559326767921448","0.10327879339456558"
"80","-0.3409202005714178","-1.2303227186203003","0.18937979638576508"
"84","-0.24407217279076576","-1.1103191375732422","0.4183262586593628"
"88","-0.4637142780702561","-0.9452803134918213","-0.004050428979098797"
"92","-0.20064312685281038","-0.7800773978233337","0.1087336540222168"
"96","-0.35136400163173676","-0.85256028175354","0.3281535804271698"
"100","-0.1756334863603115","-0.4897356331348419","0.20870323479175568"
"104","-0.23983837477862835","-0.4665972590446472","0.10236809402704239"
"108","-0.2947045788168907","-1.1023240089416504","0.3482121229171753"
"112","0.2254224196076393","-0.35477977991104126","0.6276137828826904"
"116","-0.3376551903784275","-0.6144641041755676","0.15026693046092987"
"120","-0.4120111307129264","-0.9734402894973755","0.03645830228924751"
"124","-0.19987875036895275","-0.7777582406997681","0.1049530878663063"
"128","0.1960069021442905","-0.3349425792694092","0.7343140244483948"
"132","-0.28178704902529716","-0.542865514755249","0.18702863156795502"
"136","-0.43147002533078194","-1.0626808404922485","0.2853392958641052"
"140","-0.24012918153312057","-0.4396027624607086","-0.004567702766507864"
"144","-0.3970398986712098","-1.4122387170791626","0.04665210470557213"
"148","-0.22552420943975449","-0.7007569670677185","0.42375990748405457"
"152","-0.4676065891981125","-0.7220969200134277","-0.16562432050704956"
"156","-0.21002670377492905","-0.5450736880302429","0.20650655031204224"
"160","-0.44216191733721644","-1.6124849319458008","0.09842463582754135"
"164","-0.6701449900865555","-0.916454553604126","-0.364704430103302"
"168","0.27730234153568745","-0.09161370247602463","0.633752703666687"
"172","-0.11097264289855957","-0.49899861216545105","0.10050661861896515"
"176","-0.13493060879409313","-0.4221019744873047","0.19315989315509796"
"180","-0.3630704521201551","-0.8431065082550049","-0.022153904661536217"
"184","-0.18669097870588303","-0.537211000919342","0.3636755049228668"
"188","-0.04909368371590972","-0.598625659942627","0.30653971433639526"
"192","0.14136719366069883","-0.16927339136600494","0.5153230428695679"
"196","-0.24084397777915","-0.9769895672798157","0.3102925717830658"
"200","-0.36693285405635834","-0.8169999122619629","0.1687326729297638"
"204","-0.3162359446287155","-1.0508273839950562","0.2897448241710663"
"208","0.15130278226570226","-0.0016087390249595046","0.3845047652721405"
"212","-0.16841421648859978","-0.471594899892807","0.2796255946159363"
"216","-0.11152576532913372","-0.5332921147346497","0.4041958153247833"
"220","-0.07788194343447685","-0.5780186653137207","0.2783035933971405"
"224","0.052057211520150304","-0.20451873540878296","0.30378201603889465"
"228","0.08999396860599518","-0.4597966969013214","0.547066330909729"
"232","0.07760446518659592","-0.4408169388771057","0.4076525568962097"
"236","0.28507874719798565","-0.10359872132539749","0.5451468229293823"
"240","0.27840313129127026","0.07773595303297043","0.422434002161026"
"244","0.06072122044861317","-0.44353801012039185","0.5081535577774048"
"248","0.26661552488803864","-0.16973479092121124","0.6957294940948486"
"252","-0.03910873457789421","-0.48220008611679077","0.6211426258087158"
"256","-0.13442645967006683","-0.6096954941749573","0.44588109850883484"
"260","0.3253488354384899","-0.12017311155796051","0.6985297799110413"
"264","0.18846651911735535","-0.18040341138839722","0.5573364496231079"
"268","-0.1252995729446411","-0.4965652525424957","0.2459661066532135"
"272","-0.26907584071159363","-0.7302940487861633","0.19214236736297607"
"276","-0.3616838753223419","-0.3616838753223419","-0.3616838753223419"
"280","-0.025041531771421432","-0.025041531771421432","-0.025041531771421432"
"284","-0.32432910799980164","-0.32432910799980164","-0.32432910799980164"
"288","0.1374596208333969","0.1374596208333969","0.1374596208333969"
"292","-0.03208863362669945","-0.03208863362669945","-0.03208863362669945"
