"Step","ddpo_trainer_config.train_learning_rate: 0.00005 - head_validation/monitor_mean","ddpo_trainer_config.train_learning_rate: 0.00005 - head_validation/monitor_mean__MIN","ddpo_trainer_config.train_learning_rate: 0.00005 - head_validation/monitor_mean__MAX"
"4","-0.284738227725029","-1.0978339910507202","0.1597788780927658"
"8","-0.48224451788701117","-2.265953302383423","0.27680686116218567"
"12","0.07935899682343006","-0.5007907748222351","0.5675079822540283"
"16","-0.02310896315611899","-0.36101850867271423","0.3357461988925934"
"20","-0.5200071409344673","-0.7063548564910889","-0.26774200797080994"
"24","-0.2651814026758075","-0.6727318167686462","0.054754290729761124"
"28","-0.11260151490569115","-0.27072930335998535","0.2754131853580475"
"32","-0.11156396078877151","-0.6903167366981506","0.34207069873809814"
"36","-0.5434592664241791","-0.8943698406219482","-0.25274068117141724"
"40","-0.11789386789314449","-0.3959708511829376","0.12701193988323212"
"44","-0.5553142689168453","-1.2606101036071777","-0.08504892885684967"
"48","0.020372074097394943","-0.3124758005142212","0.5967888236045837"
"52","-0.11233299225568771","-0.46787288784980774","0.18141569197177887"
"56","-0.11917085200548172","-0.47569000720977783","0.4769124984741211"
"60","-0.11022604070603848","-0.37701088190078735","0.06269434839487076"
"64","0.24057452951092273","-0.006029180716723204","0.4148644506931305"
"68","-0.060310978442430496","-0.32833436131477356","0.23617394268512726"
"72","-0.038849037140607834","-0.408115416765213","0.43223652243614197"
"76","0.05905827507376671","-0.516428530216217","0.32060468196868896"
"80","0.18262650351971388","0.02598436549305916","0.4606054723262787"
"84","-0.13795217499136925","-0.581816554069519","0.4398640990257263"
"88","-0.37485034798737615","-1.1080691814422607","-0.006034040357917547"
"92","-0.02887488529086113","-0.27456122636795044","0.2262229472398758"
"96","0.01390408305451274","-0.15808987617492676","0.1371690332889557"
"100","-0.01373668760061264","-0.6139345765113831","0.4777713716030121"
"104","-0.228468619287014","-0.7550092339515686","0.21977077424526215"
"108","0.12798155285418034","-0.22443366050720215","0.578674852848053"
"112","0.17743223160505295","-0.11454062163829803","0.3554985523223877"
"116","0.07193630747497082","-0.31934118270874023","0.2972085773944855"
"120","-0.16977019980549812","-0.7021915912628174","0.3916394114494324"
"124","0.10348627809435129","-0.1626814603805542","0.39472681283950806"
"128","-0.03511353209614754","-0.19322283565998077","0.3502396047115326"
"132","-0.08397032599896193","-0.1628524512052536","0.020741082727909088"
"136","0.016049868427217007","-0.5311739444732666","0.34542644023895264"
"140","0.04840620048344135","-0.27098312973976135","0.6597485542297363"
"144","-0.09874456201214343","-0.7181558012962341","0.3545726537704468"
"148","-0.03189220279455185","-0.5398820042610168","0.22522617876529694"
"152","-0.039276053197681904","-0.30819547176361084","0.19027723371982574"
"156","-0.02534476760774851","-0.15682990849018097","0.11886747181415558"
"160","0.32432081550359726","-0.43526411056518555","0.8084220886230469"
"164","-0.19795331452041864","-0.8448225259780884","0.21770626306533813"
"168","-0.05692030489444733","-0.9095386266708374","0.47901350259780884"
"172","-0.05326683074235916","-0.37130457162857056","0.25746676325798035"
"176","0.1975204162299633","-0.21461933851242065","0.9870548844337463"
"180","-0.058958225417882204","-0.2511659860610962","0.16562776267528534"
"184","0.1891846563667059","0.08369722962379456","0.4143853187561035"
"188","-0.1008618076593848","-0.34731945395469666","0.11982262134552002"
"192","0.26041250489652157","0.07905708998441696","0.4366249144077301"
"196","0.16445695981383324","-0.40751883387565613","0.6445396542549133"
"200","0.03745671175420284","-0.16648830473423004","0.5205878615379333"
"204","0.4888050965964794","0.20331455767154694","0.7972557544708252"
"208","0.20441130176186562","-0.279299259185791","0.7166463136672974"
"212","0.22536603081971407","0.01852404698729515","0.6019086241722107"
"216","0.11002026870846748","-0.41079699993133545","0.4046068787574768"
"220","0.007455192506313324","-0.26668092608451843","0.2674425542354584"
"224","0.29564300552010536","-0.04789744317531586","0.4892328381538391"
"228","-0.3289077617228031","-0.5485842227935791","-0.02787017822265625"
"232","0.3910611905157566","-0.06797756254673004","0.7769720554351807"
"236","0.08802351355552673","-0.14891909062862396","0.37486279010772705"
"240","0.20511997118592262","-0.45320814847946167","0.8327760696411133"
"244","0.00040628015995025635","-0.6417086720466614","0.452743798494339"
"248","0.21529457060387358","-0.012586234137415886","0.805839478969574"
"252","0.08810485061258078","-0.4370173513889313","0.5059378743171692"
"256","0.23076736368238926","0.08098795264959335","0.5539469718933105"
"260","0.216319989413023","-0.08272449672222137","0.6798679232597351"
"264","0.20998971909284592","-0.21443422138690948","0.6344136595726013"
"268","0.5241716206073761","0.515853762626648","0.5324894785881042"
"272","0.21418041083961725","-0.01696905307471752","0.445329874753952"
"276","0.6706611514091492","0.6706611514091492","0.6706611514091492"
"280","0.3211711645126343","0.3211711645126343","0.3211711645126343"
"284","0.7624524831771851","0.7624524831771851","0.7624524831771851"
"288","0.3530995845794678","0.3530995845794678","0.3530995845794678"
"292","0.8168511390686035","0.8168511390686035","0.8168511390686035"
