"Step","ddpo_trainer_config.train_learning_rate: 0.00005 - head_validation/grocery store_mean","ddpo_trainer_config.train_learning_rate: 0.00005 - head_validation/grocery store_mean__MIN","ddpo_trainer_config.train_learning_rate: 0.00005 - head_validation/grocery store_mean__MAX"
"4","0.09504453977569938","0.021775538101792336","0.2573866546154022"
"8","0.19143420830368996","0.07239574939012527","0.41825589537620544"
"12","0.12844427349045873","-0.053153254091739655","0.32515934109687805"
"16","0.24146929942071438","0.0679459497332573","0.37820717692375183"
"20","0.2569470591843128","0.021308451890945435","0.5043361186981201"
"24","0.2551568020135164","0.09958270937204361","0.41937360167503357"
"28","0.384680412709713","0.2969445288181305","0.4601152837276459"
"32","0.2469995990395546","0.14997951686382294","0.33521172404289246"
"36","0.36512745916843414","0.19856619834899902","0.5523984432220459"
"40","0.3209596537053585","0.24454884231090546","0.3864040672779083"
"44","0.40739088505506516","0.24851027131080627","0.5419425964355469"
"48","0.29155590757727623","0.21362467110157013","0.3785009980201721"
"52","0.36356059461832047","0.3131782114505768","0.41438132524490356"
"56","0.4347214810550213","0.24672217667102814","0.5981489419937134"
"60","0.45747874677181244","0.40739136934280396","0.5334205627441406"
"64","0.3256867825984955","0.2274809330701828","0.5835902094841003"
"68","0.41931647062301636","0.3426993787288666","0.4757547974586487"
"72","0.29137909412384033","0.09369313716888428","0.42728719115257263"
"76","0.519470289349556","0.3746972382068634","0.6549498438835144"
"80","0.502472497522831","0.35117173194885254","0.664949357509613"
"84","0.37759438157081604","0.23771777749061584","0.5220864415168762"
"88","0.5454318299889565","0.475923627614975","0.6006156802177429"
"92","0.5139438658952713","0.43755918741226196","0.5612985491752625"
"96","0.5254960060119629","0.3791557848453522","0.7234061360359192"
"100","0.5033378675580025","0.3858802020549774","0.6132875680923462"
"104","0.5856481418013573","0.4499528110027313","0.71474689245224"
"108","0.39926034584641457","0.13687725365161896","0.6805633306503296"
"112","0.6101764962077141","0.4215985834598541","0.733550488948822"
"116","0.5290250033140182","0.4170755445957184","0.6723253726959229"
"120","0.5883927941322327","0.3853745460510254","0.7196613550186157"
"124","0.6539898067712784","0.4501314163208008","0.8640247583389282"
"128","0.6834670752286911","0.4703832268714905","0.8745408058166504"
"132","0.5731592252850533","0.42490264773368835","0.7604402899742126"
"136","0.7042339444160461","0.40299081802368164","0.8954612016677856"
"140","0.6362628936767578","0.5669986605644226","0.8008436560630798"
"144","0.5718588903546333","0.48849812150001526","0.6422228813171387"
"148","0.638488695025444","0.5712890028953552","0.7520912885665894"
"152","0.6811728700995445","0.3853733241558075","0.8994395136833191"
"156","0.5558024421334267","0.23757877945899963","0.8105611801147461"
"160","0.707438662648201","0.5612932443618774","0.8474923968315125"
"164","0.811429962515831","0.5844128131866455","1.0716707706451416"
"168","0.6689179539680481","0.5248371958732605","0.8507367372512817"
"172","0.7897858768701553","0.5987879037857056","0.9157773852348328"
"176","0.8785925060510635","0.7508973479270935","0.9971966743469238"
"180","0.8679941594600677","0.6339082717895508","1.098656415939331"
"184","0.7205787375569344","0.47452399134635925","0.8987617492675781"
"188","0.8709351569414139","0.6744057536125183","1.0234893560409546"
"192","0.7882893979549408","0.6045475006103516","0.9534782767295837"
"196","0.8685658127069473","0.5839061737060547","1.0552747249603271"
"200","0.7236655652523041","0.59563809633255","0.9622947573661804"
"204","0.9400011152029037","0.913600742816925","0.9546872973442078"
"208","0.9060061872005463","0.7982079386711121","0.9693642854690552"
"212","0.9802286475896835","0.856463611125946","1.0615875720977783"
"216","0.9020929634571075","0.6624705195426941","1.0293331146240234"
"220","0.9440119713544846","0.8237126469612122","1.1286636590957642"
"224","0.8498173654079437","0.7373471260070801","0.9243313074111938"
"228","0.8858147412538528","0.7084019780158997","1.0583893060684204"
"232","0.9434873014688492","0.7913992404937744","1.0780264139175415"
"236","0.969658762216568","0.6922932863235474","1.1320936679840088"
"240","0.9677707254886627","0.8638517260551453","1.0761606693267822"
"244","0.8640314489603043","0.6251050233840942","0.9773203134536743"
"248","0.9645019918680191","0.847371518611908","1.1214839220046997"
"252","0.9442339092493057","0.7954416871070862","1.089840054512024"
"256","1.0106616169214249","0.861305832862854","1.1115764379501343"
"260","0.9196281284093857","0.6868000030517578","1.0859419107437134"
"264","1.0583425462245941","0.9626787304878235","1.1540063619613647"
"268","1.0150027871131897","0.9023600816726685","1.127645492553711"
"272","0.9280634820461273","0.9093594551086426","0.9467675089836121"
"276","1.2762418985366821","1.2762418985366821","1.2762418985366821"
"280","1.1335302591323853","1.1335302591323853","1.1335302591323853"
"284","1.10214364528656","1.10214364528656","1.10214364528656"
"288","1.202309489250183","1.202309489250183","1.202309489250183"
"292","1.0097010135650635","1.0097010135650635","1.0097010135650635"
