"Step","ddpo_trainer_config.train_learning_rate: 0.00005 - head_validation/reward_mean","ddpo_trainer_config.train_learning_rate: 0.00005 - head_validation/reward_mean__MIN","ddpo_trainer_config.train_learning_rate: 0.00005 - head_validation/reward_mean__MAX"
"4","0.15367941530421375","-0.02028622478246689","0.3706537187099457"
"8","0.2163342647254467","0.03230069950222969","0.3952893316745758"
"12","0.1683592926710844","-0.032033830881118774","0.3316268026828766"
"16","0.23404379868879915","-0.014589003287255764","0.4839176833629608"
"20","0.20572698237374426","-0.120140440762043","0.42066240310668945"
"24","0.21176582165062427","0.0608820803463459","0.5008718967437744"
"28","0.3166152909398079","0.2128317952156067","0.4202020466327667"
"32","0.21571206697262824","0.004802497569471598","0.44694504141807556"
"36","0.3948973685503006","0.14796167612075806","0.5387763381004333"
"40","0.35797141790390014","0.1278935670852661","0.6057571768760681"
"44","0.34957309663295744","0.20484958589076996","0.5370783805847168"
"48","0.3735317200422287","0.24714702367782593","0.5032376050949097"
"52","0.4219282194972038","0.21145202219486237","0.592118501663208"
"56","0.47105540335178375","0.29533839225769043","0.6473328471183777"
"60","0.491594697535038","0.247686967253685","0.7108413577079773"
"64","0.48521482944488525","0.28081536293029785","0.6949753761291504"
"68","0.5193424835801125","0.21834059059619904","0.8078418374061584"
"72","0.5150386810302734","0.32165202498435974","0.8276869654655457"
"76","0.5655322968959808","0.3470439910888672","0.8478279113769531"
"80","0.6078357100486755","0.4042259156703949","0.8334507346153259"
"84","0.5746025443077087","0.34695151448249817","0.7370126843452454"
"88","0.704608416557312","0.5507332682609558","0.8432894349098206"
"92","0.6562785059213638","0.36778581142425537","0.8197805285453796"
"96","0.7129744172096253","0.610217273235321","0.8544932007789612"
"100","0.6929256439208984","0.4504201412200928","0.8634834289550781"
"104","0.6722333699464798","0.35979726910591125","0.8387763500213623"
"108","0.7096931099891662","0.35962796211242676","0.9625644683837891"
"112","0.6932967469096184","0.21966253221035004","0.9009196758270264"
"116","0.681869837641716","0.47991880774497986","0.8046559691429138"
"120","0.7582782149314881","0.6467929482460022","0.880415141582489"
"124","0.7112495988607407","0.3220859467983246","0.9363004565238953"
"128","0.802661907672882","0.6961423754692078","0.9708919525146484"
"132","0.7618039548397064","0.567206859588623","0.9308590292930603"
"136","0.7875072062015533","0.624521017074585","0.9328920841217041"
"140","0.7727574408054352","0.4687983989715576","0.933803379535675"
"144","0.8494410574436188","0.5180606245994568","1.0574969053268433"
"148","0.8504522144794464","0.5708617568016052","1.0007404088974"
"152","0.8137135863304138","0.6129339337348938","1.025027871131897"
"156","0.9050766170024872","0.8166232705116272","1.0437012910842896"
"160","0.8640789449214935","0.6545549631118774","0.990226686000824"
"164","0.9015745639801025","0.7995994091033936","0.9822337031364441"
"168","0.8848312033547295","0.6545228362083435","1.0389518737792969"
"172","0.9056043401360512","0.8189091682434082","0.9957592487335205"
"176","0.971161738038063","0.8288698196411133","1.0245329141616821"
"180","1.0105586051940918","0.9087595343589783","1.1334983110427856"
"184","0.9581732749938965","0.8608972430229187","1.1282446384429932"
"188","1.0046302899718285","0.8608312010765076","1.0881750583648682"
"192","1.0107484012842178","0.8785145878791809","1.0835715532302856"
"196","1.0162315666675568","0.8880367279052734","1.0724858045578003"
"200","1.027425117790699","0.8969581723213196","1.2051912546157837"
"204","1.0294228196144104","0.9474408626556396","1.0867019891738892"
"208","1.0430088713765144","0.8831009864807129","1.1487401723861694"
"212","1.0491932407021523","0.9303929805755615","1.1295565366744995"
"216","1.051258847117424","0.9131898283958435","1.188521385192871"
"220","1.0570855215191841","0.9137887358665466","1.1793910264968872"
"224","1.104504071176052","0.9856802821159363","1.224393367767334"
"228","1.0764820724725723","1.0021958351135254","1.2204173803329468"
"232","1.0959891602396965","0.9386802315711975","1.195052146911621"
"236","1.1155653148889542","1.0060945749282837","1.1878474950790405"
"240","1.105727195739746","1.0112055540084839","1.2363721132278442"
"244","1.0823016837239265","0.8738837242126465","1.1905711889266968"
"248","1.1317696741649084","1.0329630374908447","1.2572150230407715"
"252","1.1169284241540092","0.9231781959533691","1.2216275930404663"
