"Step","ddpo_trainer_config.no_ellipse_prompts: true - trained_validation/size_mean","ddpo_trainer_config.no_ellipse_prompts: true - trained_validation/size_mean__MIN","ddpo_trainer_config.no_ellipse_prompts: true - trained_validation/size_mean__MAX","ddpo_trainer_config.no_ellipse_prompts: false - trained_validation/size_mean","ddpo_trainer_config.no_ellipse_prompts: false - trained_validation/size_mean__MIN","ddpo_trainer_config.no_ellipse_prompts: false - trained_validation/size_mean__MAX"
"20","0.18905708442131677","0.17572429776191711","0.19858399033546448","0.19135200728972754","0.17487794160842896","0.21570639312267303"
"40","0.19354520241419473","0.17901206016540527","0.20826010406017303","0.19951851417620978","0.17782390117645264","0.21581219136714935"
"60","0.18957791974147162","0.17823894321918488","0.19708660244941711","0.1947957475980123","0.1860351711511612","0.20645345747470856"
"80","0.19814318418502808","0.17673340439796448","0.20827637612819672","0.19016928225755692","0.1728515774011612","0.20944011211395264"
"100","0.1914659415682157","0.18405762314796448","0.19640301167964935","0.19393175840377808","0.18083496391773224","0.2089029997587204"
"120","0.1838324765364329","0.16970215737819672","0.1914062649011612","0.18297255535920462","0.16629232466220856","0.20639649033546448"
"140","0.19614123553037643","0.18983562290668488","0.21013998985290527","0.19219700495402017","0.17303875088691711","0.21076661348342896"
"160","0.18951688210169473","0.1732584685087204","0.20716960728168488","0.1965549166003863","0.18836264312267303","0.2025960385799408"
"180","0.1876275067528089","0.17554526031017303","0.20523275434970856","0.19662137577931085","0.1776936948299408","0.2032470852136612"
"200","0.18255345026652017","0.17298991978168488","0.18946941196918488","0.19368084023396173","0.1780599057674408","0.20372723042964935"
"220","0.18450114876031876","0.17955729365348816","0.1921386867761612","0.19417047500610352","0.18048503994941711","0.2165120542049408"
"240","0.18016629417737326","0.17132163047790527","0.19125977158546448","0.18977323174476624","0.18328452110290527","0.20017090439796448"
"260","0.18116049220164618","0.17342936992645264","0.1881510466337204","0.18835450212160745","0.16917318105697632","0.2081298977136612"
"280","0.1875596890846888","0.17630209028720856","0.19931641221046448","0.1907877723375956","0.1829427182674408","0.21087241172790527"
"300","0.18697782109181085","0.17206218838691711","0.19834798574447632","0.19153918077548346","0.18168945610523224","0.1983642727136612"
"320","0.19010824710130692","0.18178711831569672","0.19762371480464935","0.19035102923711142","0.16983236372470856","0.22198081016540527"
"340","0.18588325877984366","0.18000489473342896","0.19829916954040527","0.1837036261955897","0.17360027134418488","0.1920166164636612"
"360","0.1831407422820727","0.17046713829040527","0.19655762612819672","0.18644884725411734","0.1777750700712204","0.2089029997587204"
"380","0.18964844942092896","0.17670899629592896","0.20122072100639343","0.1883409395813942","0.1658935695886612","0.20551759004592896"
"400","0.17730171233415604","0.16811524331569672","0.19454753398895264","0.1913709963361422","0.18023276329040527","0.20313315093517303"
"420","0.18060710529486337","0.1657714992761612","0.19135743379592896","0.19018284479777017","0.1762695461511612","0.2195638120174408"
"440","0.179265687863032","0.16868489980697632","0.1938069760799408","0.17723660667737326","0.16722819209098816","0.18213705718517303"
"460","0.18186036249001822","0.17139486968517303","0.2019449919462204","0.18512641886870065","0.17223307490348816","0.19336752593517303"
"480","0.18028022845586142","0.17238770425319672","0.18479818105697632","0.1879625196258227","0.17628581821918488","0.20664876699447632"
"500","0.1822455624739329","0.17217612266540527","0.1927897185087204","0.17950711647669473","0.16966146230697632","0.19191081821918488"
"520","0.18499756852785745","0.17157390713691711","0.21253256499767303","0.17629937827587128","0.17093099653720856","0.18211263418197632"
"540","0.18249784161647162","0.1751709133386612","0.20000815391540527","0.19081896791855493","0.17408041656017303","0.20366212725639343"
"560","0.18457303196191788","0.17320963740348816","0.19914551079273224","0.18690186242262521","0.17819824814796448","0.20346680283546448"
"580","0.1827921619017919","0.17001140117645264","0.20432943105697632","0.18442112455765405","0.17483724653720856","0.19558919966220856"
"600","0.1845960939923922","0.1672770231962204","0.1972656399011612","0.18603788067897162","0.1652832180261612","0.19366049766540527"
"620","0.18179661532243094","0.16968588531017303","0.19960124790668488","0.18700087815523148","0.17299805581569672","0.20673829317092896"
"640","0.1843655159076055","0.16987305879592896","0.19654949009418488","0.18363173802693686","0.1784261167049408","0.18740235269069672"
"660","0.1848619356751442","0.1704101711511612","0.20522461831569672","0.1838243380188942","0.16913250088691711","0.19257813692092896"
"680","0.18594022343556085","0.16680502891540527","0.19971518218517303","0.18023954083522162","0.16975098848342896","0.2003173977136612"
"700","0.18512913336356482","0.17593587934970856","0.19412435591220856","0.18849149346351624","0.17036134004592896","0.21058757603168488"
"720","0.18076036870479584","0.16783854365348816","0.19375814497470856","0.18409153570731482","0.17202149331569672","0.20184734463691711"
"740","0.17937419563531876","0.1675211638212204","0.19092611968517303","0.18004829188187918","0.1725260466337204","0.1882731169462204"
"760","0.181254081428051","0.16485190391540527","0.18658041954040527","0.18331706523895264","0.1805013120174408","0.18898926675319672"
"780","0.18275418629248938","0.17669272422790527","0.19147950410842896","0.18397082140048346","0.17507325112819672","0.20215658843517303"
"800","0.18531088282664618","0.17562663555145264","0.19805502891540527","0.18402778605620065","0.17874349653720856","0.1900634914636612"
"820","0.17733426640431085","0.17128907144069672","0.19025066494941711","0.1859524299701055","0.17593587934970856","0.19310711324214935"
"840","0.18075087666511536","0.17060548067092896","0.19041341543197632","0.18396675338347754","0.17229819297790527","0.20433758199214935"
"860","0.1787435015042623","0.17056478559970856","0.19252116978168488","0.18787029137214026","0.1800537258386612","0.20010580122470856"
"880","0.17949083944161734","0.16895346343517303","0.19667969644069672","0.1778618817528089","0.16706544160842896","0.20277507603168488"
"900","0.18666178981463113","0.17443034052848816","0.19655762612819672","0.18106825898090997","0.1715494841337204","0.18937988579273224"
"920","0.1852281466126442","0.16938477754592896","0.20256349444389343","0.18269857515891394","0.17343750596046448","0.19766439497470856"
"940","0.18303494900465012","0.16915690898895264","0.1879069060087204","0.18337538838386536","0.17832031846046448","0.19279785454273224"
"960","0.18334012478590012","0.1774902492761612","0.19890137016773224","0.18122695138057074","0.17438966035842896","0.1866455227136612"
"980","0.1816881075501442","0.1718343198299408","0.18694663047790527","0.17957628766695657","0.1688639372587204","0.18981121480464935"
"1000","0.18058811873197556","0.16934408247470856","0.20116375386714935","0.18808730194965997","0.17806804180145264","0.2002767026424408"
"1020","0.1849989245335261","0.18002930283546448","0.19444988667964935","0.18120660881201425","0.17342936992645264","0.19012045860290527"
"1040","0.18192817767461142","0.17965495586395264","0.18439128994941711","0.18141954888900122","0.16647949814796448","0.1927897185087204"
"1060","0.1786756838361422","0.17263184487819672","0.19121909141540527","0.18802491327126822","0.17684733867645264","0.20724284648895264"
"1080","0.183071568608284","0.1671956479549408","0.20034994184970856","0.18328044563531876","0.17482097446918488","0.19395345449447632"
"1100","0.1793416440486908","0.16358236968517303","0.19187012314796448","0.18451877931753793","0.1766764372587204","0.19780273735523224"
"1120","0.1815782437721888","0.17095541954040527","0.1924235075712204","0.18148329854011536","0.1734212338924408","0.18734538555145264"
"1140","0.18457981695731482","0.1786295622587204","0.18997396528720856","0.18822565178076425","0.1777750700712204","0.20922039449214935"
"1160","0.1819919248421987","0.17474773526191711","0.19737142324447632","0.18538276851177216","0.18068034946918488","0.19610190391540527"
"1180","0.1827460452914238","0.17229004204273224","0.19224447011947632","0.18365750461816788","0.17605794966220856","0.1930338591337204"
"1200","0.18573269993066788","0.1699625700712204","0.20078939199447632","0.1870578428109487","0.17719727754592896","0.1986490935087204"
"1220","0.1849690849582354","0.17319336533546448","0.21184897422790527","0.1834038719534874","0.17665202915668488","0.18990886211395264"
"1240","0.1887627566854159","0.1711832731962204","0.21170248091220856","0.18606500575939813","0.17505697906017303","0.19567058980464935"
"1260","0.18100722382465997","0.17539063096046448","0.1879069060087204","0.18641765167315802","0.18285320699214935","0.19060058891773224"
"1280","0.19399415204922357","0.17914226651191711","0.2312825620174408","0.1823133776585261","0.17819824814796448","0.1894531399011612"
"1300","0.18767768889665604","0.17399902641773224","0.20362143218517303","0.190509724120299","0.17733561992645264","0.22875164449214935"
"1320","0.18019206821918488","0.1741943508386612","0.19281414151191711","0.1862725242972374","0.1771240383386612","0.19876302778720856"
"1340","0.17955865959326425","0.17597657442092896","0.18696290254592896","0.18582086513439813","0.17963868379592896","0.1975911557674408"
"1360","0.18214654674132666","0.17067871987819672","0.1901448667049408","0.1829969733953476","0.17238770425319672","0.19188641011714935"
"1380","0.19017470628023148","0.17275391519069672","0.2250162810087204","0.18823243429263434","0.17871908843517303","0.19737142324447632"
"1400","0.18700088063875833","0.17843425273895264","0.19814454019069672","0.18750679244597754","0.17343750596046448","0.20722657442092896"
"1420","0.19172906627257666","0.17878419160842896","0.2292887419462204","0.19080404688914618","0.18040364980697632","0.1959228664636612"
"1440","0.18028158446153006","0.1674397885799408","0.1894938200712204","0.19195557882388434","0.17091472446918488","0.2066650539636612"
"1460","0.18820937226215997","0.17454427480697632","0.20828451216220856","0.19116076081991196","0.17161458730697632","0.21121419966220856"
"1480","0.18216418226559958","0.17176921665668488","0.1945800930261612","0.18740235517422357","0.17845866084098816","0.1961670070886612"
"1500","0.18276368329922357","0.17572429776191711","0.20025229454040527","0.18670519441366196","0.1780192106962204","0.20718587934970856"
"1520","0.18292373170455298","0.17449545860290527","0.19088542461395264","0.19001736988623938","0.1719563901424408","0.20742188394069672"
"1540","0.18076173216104507","0.16270345449447632","0.19146323204040527","0.18559707204500833","0.1728515774011612","0.19511719048023224"
"1560","0.18463814010222754","0.17189128696918488","0.2134196013212204","0.1846313551068306","0.17593587934970856","0.19351400434970856"
"1580","0.18684218327204385","0.18065592646598816","0.20029297471046448","0.185512974858284","0.16928711533546448","0.20618490874767303"
"1600","0.18000353872776031","0.16793620586395264","0.18981121480464935","0.18760309368371964","0.1776529997587204","0.2097168117761612"
"1620","0.1842366630832354","0.17031250894069672","0.20690105855464935","0.18469917525847754","0.17778320610523224","0.19432781636714935"
"1640","0.18477512896060944","0.17063802480697632","0.20256349444389343","0.19116347779830298","0.17919108271598816","0.20390626788139343"
"1660","0.18458524097998938","0.17616374790668488","0.19283854961395264","0.18689372638861337","0.17538249492645264","0.19896648824214935"
"1680","0.18561606109142303","0.17306315898895264","0.20685222744941711","0.18561199059089026","0.17958171665668488","0.19506023824214935"
"1700","0.18655735502640405","0.17857259511947632","0.20048829913139343","0.19318577398856482","0.1700846403837204","0.21714681386947632"
"1720","0.1844428280989329","0.17067871987819672","0.19737957417964935","0.1863661135236422","0.17843425273895264","0.1999104917049408"
"1740","0.1828328569730123","0.17274577915668488","0.19269207119941711","0.18528511126836142","0.17547202110290527","0.1972656399011612"
"1760","0.18474257489045462","0.17041830718517303","0.20200195908546448","0.19083252797524133","0.18173828721046448","0.2103678435087204"
"1780","0.18012153853972754","0.17395834624767303","0.1901855617761612","0.18655735502640405","0.17908529937267303","0.19397787749767303"
"1800","0.18242866545915604","0.16895346343517303","0.20188802480697632","0.19131402919689813","0.1809488981962204","0.20083008706569672"
"1820","0.18184815098841986","0.17589518427848816","0.18472494184970856","0.1918755571047465","0.18267416954040527","0.21001791954040527"
"1840","0.18463135759035745","0.16840007901191711","0.19602051377296448","0.1888685549298922","0.17705078423023224","0.20087891817092896"
"1860","0.18702257672945657","0.17656250298023224","0.2068684995174408","0.18799642970164618","0.17858073115348816","0.20160320401191711"
"1880","0.18767362087965012","0.17828777432441711","0.2046305388212204","0.19404026865959167","0.17714031040668488","0.22882488369941711"
"1900","0.185268834233284","0.17803549766540527","0.19484864175319672","0.18771431098381677","0.17141927778720856","0.20489910244941711"
"1920","0.19108345111211142","0.1754150539636612","0.21547852456569672","0.1900919700662295","0.1800944060087204","0.19830730557441711"
"1940","0.184414342045784","0.1717936247587204","0.19695639610290527","0.19547255585590997","0.18689779937267303","0.21511231362819672"
"1960","0.18654243648052216","0.17574870586395264","0.19117026031017303","0.18645156174898148","0.17047527432441711","0.19422201812267303"
